username,password,clazz,name
lixing1,abv123,1000,阿星1
lixing2,abv124,1000,阿星2
lixing3,abv125,1000,阿星3
lixing4,abv126,1000,阿星4
lixing5,abv127,1000,阿星5
lixing6,abv128,1000,阿星6
lixing7,abv129,1000,阿星7
lixing8,abv130,1000,阿星8
lixing9,abv131,1000,阿星9
lixing10,abv132,1000,阿星10
lixing11,abv133,1000,阿星11
lixing12,abv134,1000,阿星12
lixing13,abv135,1000,阿星13
lixing14,abv136,1000,阿星14
lixing15,abv137,1000,阿星15
lixing16,abv138,1000,阿星16
lixing17,abv139,1000,阿星17
lixing18,abv140,1000,阿星18
lixing19,abv141,1000,阿星19
lixing20,abv142,1000,阿星20
lixing21,abv143,1000,阿星21
lixing22,abv144,1000,阿星22
lixing23,abv145,1000,阿星23
lixing24,abv146,1000,阿星24
lixing25,abv147,1000,阿星25
lixing26,abv148,1000,阿星26
lixing27,abv149,1000,阿星27
lixing28,abv150,1000,阿星28
lixing29,abv151,1000,阿星29
lixing30,abv152,1000,阿星30
lixing31,abv153,1000,阿星31
lixing32,abv154,1000,阿星32
lixing33,abv155,1000,阿星33
lixing34,abv156,1000,阿星34
lixing35,abv157,1000,阿星35
lixing36,abv158,1000,阿星36
lixing37,abv159,1000,阿星37
lixing38,abv160,1000,阿星38
lixing39,abv161,1000,阿星39
lixing40,abv162,1000,阿星40
lixing41,abv163,1000,阿星41
lixing42,abv164,1000,阿星42
lixing43,abv165,1000,阿星43
